time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
611,706,21.38869,0.01824848,0.0001528409,-0.0001425097,-2.41281196221129,21.384157244057,0.0184403994020533,0.000244696880316707,-0.0025651746,0.000192612190306727,9.1855980316707e-05,13.7386900893533,0.0170792471195523,0.0001528409,-0.000142535751854501,16.5906095387706,0.0154537885595721,0.000706004853277791,-0.00256564353338101,-0.00206134847467386,0.000553163953277791
612,708,21.46143,0.01825922,0.0001424296,-0.0001433533,-2.41541892560788,21.4663596988214,0.0184517659634214,0.000233561562319541,-0.0025803594,0.000191843826439528,9.11319623195408e-05,13.8114300775947,0.0171696335636839,0.0001424296,-0.000143340663878768,16.6728125528327,0.0154942007318406,0.000702069205110917,-0.00258013194981783,-0.00208297837486646,0.000559639605110917
613,710,21.53416,0.0182692,0.0001319569,-0.0001441969,-2.41787490208223,21.5486735962764,0.0184621841898006,0.00022233328598266,-0.0025955442,0.000191069018953477,9.03763859826603e-05,13.8841600666033,0.0172597297179296,0.0001319569,-0.000144224421137947,16.755126999841,0.0155340513518591,0.000698056696268521,-0.00259603958048304,-0.00210452224645926,0.000566099796268521
614,713,21.64326,0.01828273,0.0001161329,-0.0001454622,-2.4465531477281,21.6310988485123,0.0184716437652385,0.000211011340556037,-0.0026183196,0.000190326073751042,9.48784405560369e-05,13.9932600515872,0.017394313316997,0.0001161329,-0.000145489547928003,16.8375527886453,0.0155733309200138,0.00069396696419467,-0.00261881186270406,-0.00215129834796455,0.00057783406419467
615,715,21.716,0.0182908,0.0001055068,-0.0001463058,-2.44896235904077,21.713635368624,0.0184801360509127,0.000199595721571978,-0.0026335044,0.000189585534548115,9.40889215719783e-05,14.0660000425787,0.0174836729814974,0.0001055068,-0.000146293647753064,16.9200898297297,0.0156120302598572,0.000689799613886595,-0.00263328565955514,-0.00217276859101934,0.000584292813886595
616,717,21.78873,0.01829808,9.481944e-05,-0.0001471494,-2.45127292505234,21.7962830711288,0.0184876527197399,0.00018808657211824,-0.0026486892,0.00018885654091404,9.32671321182398e-05,14.1387300343895,0.0175727112850869,9.481944e-05,-0.000147136650389089,17.002738035903,0.0156501408368865,0.000685554238565993,-0.0026484597070036,-0.00219413407400986,0.000590734798565993
617,719,21.86146,0.01830459,8.407067e-05,-0.000147993,-2.45339900108889,21.8790418720396,0.0184941812853002,0.000176482695184016,-0.002663874,0.000188113164869727,9.24120251840163e-05,14.2114600270346,0.0176614493752576,8.407067e-05,-0.000148021176558693,17.0854973225064,0.0156876555377991,0.000681230510393339,-0.00266438117805647,-0.0022154160712339,0.000597159840393339
618,722,21.97057,0.01831287,6.783248e-05,-0.0001492584,-2.4823351358822,21.9619116886005,0.0184997096626862,0.000164783286941614,-0.0026866512,0.000187426976990703,9.69508069416135e-05,14.3205700175998,0.0177939515283979,6.783248e-05,-0.000149245806614072,17.1683676071422,0.0157245675641879,0.000676828098010837,-0.0026864245190533,-0.00226255713233776,0.000608995618010837
619,724,22.0433,0.01831741,5.693032e-05,-0.000150102,-2.48442646161,22.0448924386693,0.0185042277274555,0.000152988310261462,-0.002701836,0.000186727069109818,9.60579902614623e-05,14.3933000123971,0.0178818930522353,5.693032e-05,-0.000150089359094971,17.2513488089321,0.015760869992532,0.000672346642146254,-0.00270160846370949,-0.00228373268874054,0.000615416322146254
620,726,22.11603,0.01832115,4.59668e-05,-0.0001509455,-2.48637933795007,22.1279840399325,0.0185077261093852,0.000141097944709662,-0.002717019,0.000186026620225543,9.51311447096621e-05,14.466030008082,0.0179695039801238,4.59668e-05,-0.000150974422263367,17.3344408475121,0.0157965557442087,0.000667785771295472,-0.0027175396007406,-0.00230479990094695,0.000621818971295472
621,729,22.22513,0.01832527,2.940648e-05,-0.0001522109,-2.51540201337504,22.2111864090947,0.0185101917416107,0.000129111068366192,-0.0027397962,0.000185331773457755,9.97045883661917e-05,14.5751300033076,0.0181003104280324,2.940648e-05,-0.00015224009893109,17.4176436419478,0.01583161816057,0.000663145188849646,-0.00274032178075962,-0.00235228058693387,0.000633738708849646
622,731,22.29787,0.018327,1.828957e-05,-0.0001530545,-2.51728557748268,22.2944994612202,0.0185116126183162,0.000117027034188812,-0.002754981,0.000184674263990319,9.87374641888118e-05,14.6478700012795,0.0181870847895078,1.828957e-05,-0.000153041792652875,17.5009571098132,0.015866049806956,0.000658424582810687,-0.00275475226775175,-0.00237321671854835,0.000640135012810687
623,733,22.3706,0.01832793,7.111304e-06,-0.0001538981,-2.5189630713924,22.3779231092746,0.0185119780243968,0.000104845569226054,-0.0027701658,0.00018399594753589,9.77342652260539e-05,14.7206000001934,0.0182735285244005,7.111304e-06,-0.00015388523507633,17.5843811665412,0.0158998423781703,0.000653623622592284,-0.00276993423137394,-0.00239405136463333,0.000646512318592284
624,735,22.44334,0.01832804,-4.12832e-06,-0.0001547417,-2.5204501316062,22.4614572640534,0.0185112741724188,9.25652385561809e-05,-0.0027853506,0.000183308966280784,9.66935585561809e-05,14.7933400000652,0.0183596216479999,-4.12832e-06,-0.000154728677481356,17.6679157252388,0.0159329873599444,0.000648742031181053,-0.0027851161946644,-0.00241476711957714,0.000652870351181053
